Year,State,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Uncleaned.Data,Department.Of.Labor.Cleaned.Low.Value,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value,Department.Of.Labor.Cleaned.High.Value.2020.Dollars,Footnote
2020,Alabama,7.25,7.25,7.25,7.25,7.25,7.25,258.66,...,0,0,0,0,
2020,Alaska,10.19,10.19,7.25,7.25,10.19,10.19,258.66,10.19,10.19,10.19,10.19,10.19,
2020,Arizona,12,12,7.25,7.25,12,12,258.66,12,12,12,12,12,
2020,Arkansas,10,10,7.25,7.25,10,10,258.66,10,10,10,10,10,
2020,California,13,13,7.25,7.25,13,13,258.66,13,13,13,13,13,
2020,Colorado,12,12,7.25,7.25,12,12,258.66,12,12,12,12,12,
2020,Connecticut,11,11,7.25,7.25,11,11,258.66,11,11,11,11,11,
2020,Delaware,9.25,9.25,7.25,7.25,9.25,9.25,258.66,9.25,9.25,9.25,9.25,9.25,
2020,District of Columbia,14,14,7.25,7.25,14,14,258.66,14,14,14,14,14,
2020,Florida,8.56,8.56,7.25,7.25,8.56,8.56,258.66,8.56,8.56,8.56,8.56,8.56,
2020,Georgia,7.25,7.25,7.25,7.25,7.25,7.25,258.66,5.15(d),5.15,5.15,5.15,5.15,(d)
2020,Guam,8.25,8.25,7.25,7.25,8.25,8.25,258.66,8.25,8.25,8.25,8.25,8.25,
2020,Hawaii,10.1,10.1,7.25,7.25,10.1,10.1,258.66,10.1,10.1,10.1,10.1,10.1,
2020,Idaho,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,
2020,Illinois,9.25,9.25,7.25,7.25,9.25,9.25,258.66,9.25[c],9.25,9.25,9.25,9.25,[c]
2020,Indiana,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25(e),7.25,7.25,7.25,7.25,(e)
2020,Iowa,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,
2020,Kansas,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,
2020,Kentucky,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,
2020,Louisiana,7.25,7.25,7.25,7.25,7.25,7.25,258.66,...,0,0,0,0,
2020,Maine,12,12,7.25,7.25,12,12,258.66,12,12,12,12,12,
2020,Maryland,11,11,7.25,7.25,11,11,258.66,11,11,11,11,11,
2020,Massachusetts,12.75,12.75,7.25,7.25,12.75,12.75,258.66,12.75,12.75,12.75,12.75,12.75,
2020,Michigan,9.65,9.65,7.25,7.25,9.65,9.65,258.66,9.65(e),9.65,9.65,9.65,9.65,(e)
2020,Minnesota,8.15,8.15,7.25,7.25,8.15,8.15,258.66,8.15-10.00(g),8.15,8.15,10,10,(g)
2020,Mississippi,7.25,7.25,7.25,7.25,7.25,7.25,258.66,...,0,0,0,0,
2020,Missouri,9.45,9.45,7.25,7.25,9.45,9.45,258.66,9.45,9.45,9.45,9.45,9.45,
2020,Montana,8.65,8.65,7.25,7.25,8.65,8.65,258.66,8.65(g),8.65,8.65,8.65,8.65,(g)
2020,Nebraska,9,9,7.25,7.25,9,9,258.66,9.00[c],9,9,9,9,[c]
2020,Nevada,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25-8.25,7.25,7.25,8.25,8.25,
2020,New Hampshire,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,
2020,New Jersey,11,11,7.25,7.25,11,11,258.66,11,11,11,11,11,
2020,New Mexico,9,9,7.25,7.25,9,9,258.66,9,9,9,9,9,
2020,New York,11.8,11.8,7.25,7.25,11.8,11.8,258.66,11.8,11.8,11.8,11.8,11.8,
2020,North Carolina,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,
2020,North Dakota,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,
2020,Ohio,8.7,8.7,7.25,7.25,8.7,8.7,258.66,8.7,8.7,8.7,8.7,8.7,
